EVENT_DATE_HOUR|TOTAL_TRAFFIC|INFOBIP|NEXG
2024-10-16 00|188476|104668|83808
2024-10-16 01|153916|83513|70403
2024-10-16 02|128794|61021|67773
2024-10-16 03|93260|43892|49368
2024-10-16 04|53616|42820|10796
2024-10-16 05|95648|75443|20205
2024-10-16 06|191052|124034|67018
2024-10-16 07|248210|155043|93167
2024-10-16 08|774215|266920|507295
2024-10-16 09|676777|320559|356218
2024-10-16 10|1715403|645199|1070204
2024-10-16 11|1772774|632844|1139930
2024-10-16 12|3586109|611650|2974459
2024-10-16 13|2659681|482588|2177093
2024-10-16 14|2334376|1121002|1213374
2024-10-16 15|1949470|191948|1757522
TOTAL|16,621,777|4,963,144|11,658,633
