EVENT_DATE|PLATFORM|SMSC_ID|SMSC_NAME|SUBMITION|DELIVERED|FAILED
2024-10-16 00|INFOBIP|9389|JIO CLOUD|12448|10850|1598
2024-10-16 00|INFOBIP|9394|JIO CLOUD|12163|10584|1579
2024-10-16 00|INFOBIP|9395|JIO CLOUD|12328|10733|1595
2024-10-16 00|INFOBIP|9396|JIO CLOUD|37870|28320|9550
2024-10-16 00|INFOBIP|9469|ONX|11833|10603|1230
2024-10-16 00|INFOBIP|9482|ONX|6077|5398|679
2024-10-16 00|INFOBIP|9605|ONX|11830|10626|1204
2024-10-16 00|NEXG|Jio_Cloud_4hTRN|JIO CLOUD|3319|2612|707
2024-10-16 00|NEXG|Jio_Cloud_4hTRN1|JIO CLOUD|4733|3562|1171
2024-10-16 00|NEXG|Jio_Cloud_FDA|JIO CLOUD|415|329|86
2024-10-16 00|NEXG|Jio_Cloud_OTP|JIO CLOUD|1054|647|407
2024-10-16 00|NEXG|Jio_DC_OTP|JIO CLOUD|474|307|167
2024-10-16 00|NEXG|Jio_DC_TRN|JIO CLOUD|42531|34749|7782
2024-10-16 00|NEXG|Jio_MC3_TRN|JIO CLOUD|4554|4215|339
2024-10-16 00|NEXG|Onx_AirN_OISO3|ONX|4|4|0
2024-10-16 00|NEXG|Onx_AirN_OTP2|ONX|9115|7767|1348
2024-10-16 00|NEXG|Onx_AirN_TRN|ONX|969|679|290
2024-10-16 00|NEXG|Onx_AirN_TRN1|ONX|32|28|4
2024-10-16 00|NEXG|Onx_AirN_TRN2|ONX|28|23|5
2024-10-16 00|NEXG|Onx_AirS_FDA1|ONX|701|16|685
2024-10-16 00|NEXG|Onx_AirS_GOV1|ONX|21|21|0
2024-10-16 00|NEXG|Onx_AirS_TRN|ONX|517|458|59
2024-10-16 00|NEXG|Onx_AirS_TRN1|ONX|440|417|23
2024-10-16 00|NEXG|Onx_AirS_TRN2|ONX|3|3|0
2024-10-16 00|NEXG|Onx_PSU_TRN|ONX|14898|11631|3267
2024-10-16 01|INFOBIP|9389|JIO CLOUD|13402|12082|1320
2024-10-16 01|INFOBIP|9394|JIO CLOUD|12954|9202|3752
2024-10-16 01|INFOBIP|9395|JIO CLOUD|13176|11247|1929
2024-10-16 01|INFOBIP|9396|JIO CLOUD|26959|16414|10545
2024-10-16 01|INFOBIP|9469|ONX|6635|5959|676
2024-10-16 01|INFOBIP|9482|ONX|3720|3313|407
2024-10-16 01|INFOBIP|9605|ONX|6524|5897|627
2024-10-16 01|NEXG|Jio_Cloud_4hTRN|JIO CLOUD|1627|1220|407
2024-10-16 01|NEXG|Jio_Cloud_4hTRN1|JIO CLOUD|930|702|228
2024-10-16 01|NEXG|Jio_Cloud_FDA|JIO CLOUD|209|152|57
2024-10-16 01|NEXG|Jio_Cloud_OTP|JIO CLOUD|331|254|77
2024-10-16 01|NEXG|Jio_DC_OTP|JIO CLOUD|229|170|59
2024-10-16 01|NEXG|Jio_DC_TRN|JIO CLOUD|50350|42090|8260
2024-10-16 01|NEXG|Jio_MC3_TRN|JIO CLOUD|2611|2378|233
2024-10-16 01|NEXG|Onx_AirN_OISO3|ONX|3|3|0
2024-10-16 01|NEXG|Onx_AirN_OTP2|ONX|5516|4688|828
2024-10-16 01|NEXG|Onx_AirN_TRN|ONX|783|550|233
2024-10-16 01|NEXG|Onx_AirN_TRN1|ONX|18|17|1
2024-10-16 01|NEXG|Onx_AirN_TRN2|ONX|15|9|6
2024-10-16 01|NEXG|Onx_AirS_FDA1|ONX|255|11|244
2024-10-16 01|NEXG|Onx_AirS_GOV1|ONX|15|15|0
2024-10-16 01|NEXG|Onx_AirS_OTP2|ONX|1|1|0
2024-10-16 01|NEXG|Onx_AirS_TRN|ONX|677|500|177
2024-10-16 01|NEXG|Onx_AirS_TRN1|ONX|145|138|7
2024-10-16 01|NEXG|Onx_AirS_TRN2|ONX|3|3|0
2024-10-16 01|NEXG|Onx_PSU_TRN|ONX|6685|5424|1261
