EVENT_DATE|ACCOUNT_MANAGER|CUSTOMER_NAME|CUSTOMER_TYPE_CODE|SUBMITION|DELIVERED
2024-10-16|Ajay Chauhan|MINDSMIRATUS TECHNOLOGIES PVT LTD|POST|0|0
2024-10-16|Ajay Chauhan|PERTINAX SOLUTIONS PVT LTD|POST|0|0
2024-10-16|Ajay Chauhan|R P INFOTECH|POST|356|292
2024-10-16|Ajay Chauhan|MANTHAN IT SOLUTIONS|POST|108846|73546
2024-10-16|Ajay Chauhan|VOXVALLEY TECHNOLOGIES PRIVATE LIMITED|POST|2164|1624
2024-10-16|Ajay Chauhan|CERF SOLUTIONS PRIVATE LIMITED|POST|254677|169064
2024-10-16|Ajay Chauhan|EVOLGENCE TELECOM SYSTEMS PRIVATE LIMITED|POST|0|0
2024-10-16|Ajay Chauhan|FABMEDIATECH PVT LTD|POST|515538|327014
2024-10-16|Ajay Chauhan|XORAX SOFTS PVT LTD|POST|10180|7524
2024-10-16|Ajay Chauhan|TELEBU COMMUNICATIONS LLP |POST|0|0
2024-10-16|Ajay Chauhan|DIGITAL HUB INDIA PVT LTD|PRE|0|0
2024-10-16|Ajay Chauhan|FABMEDIATECH PVT LTD|PRE|0|0
2024-10-16|Ajay Chauhan|SPEQTRA INNOV|PRE|13585|9469
2024-10-16|Ajay Chauhan|ADFINMARK|PRE|0|0
2024-10-16|Ajay Chauhan|TEST ANANYA|PRE|0|0
2024-10-16|Ajay Chauhan|RINGING INFOTECH|PRE|0|0
2024-10-16|Ajay Chauhan|DOUBLEM TECHNOLOGIES|PRE|32672|23639
2024-10-16|Ajay Chauhan|THE BASICS DIGITAL SOLUTIONS PRIVATE LIMITED|PRE|18622|13520
2024-10-16|Ajay Chauhan|FINLAB AI SOLUTIONS PRIVATE LIMITED|PRE|0|0
2024-10-16|Ajay Chauhan|N S TECHNOLOGY|PRE|0|0
2024-10-16|Ashish Gupta|SAET AGENCY PRIVATE LIMITED|POST|0|0
2024-10-16|Ashish Gupta|PRP SERVICES PRIVATE LIMITED|POST|0|0
2024-10-16|Ashish Gupta|MY INBOX MEDIA PRIVATE LIMITED|POST|931|0
2024-10-16|Ashish Gupta|TRUSTSIGNAL VENTURES PRIVATE LIMITED|POST|409249|293176
2024-10-16|Ashish Gupta|SARV WEBS PRIVATE LIMITED|POST|871|691
2024-10-16|Ashish Gupta|VALUE ONE DIGITAL MEDIA|POST|0|0
2024-10-16|Ashish Gupta|CYBONIX TECHNOLOGIES PRIVATE LIMITED|POST|0|0
2024-10-16|Ashish Gupta|FOXGLOVE CONNECT PRIVATE LIMITED|POST|0|0
2024-10-16|Ashish Gupta|PARAHIT TECHNOLOGIES LIMITED|POST|0|0
2024-10-16|Ashish Gupta|DIGIDONAR TELESERVICES|POST|0|0
2024-10-16|Ashish Gupta|AZMARQ TECHNOVATION PRIVATE LIMITED|POST|576365|473818
2024-10-16|Ashish Gupta|INBOX MEDIA PRIVATE LIMITED|POST|2449693|2045217
2024-10-16|Ashish Gupta|MAPPS TELE SERVICES PRIVATE LIMITED|POST|76|64
2024-10-16|Ashish Gupta|NKMB TECH PRIVATE LIMITED|POST|0|0
2024-10-16|Ashish Gupta|KYK SOLUTIONS PVT LTD|POST|13164|10725
2024-10-16|Ashish Gupta|CELETEL TECHNOLOGIES PVT LTD|POST|0|0
2024-10-16|Ashish Gupta|JAGAT PHARMA PRIVATE LIMITED|POST|0|0
2024-10-16|Ashish Gupta|MICRONET INFOCOM & LOGISTICS PRIVATE LIMITED|POST|53168|48337
2024-10-16|Ashish Gupta|CBIS INDIA PRIVATE LIMITED|POST|0|0
2024-10-16|Ashish Gupta|SMART TECH MESSAGING PRIVATE LIMITED|POST|78|77
2024-10-16|Ashish Gupta|HIND ADSOFT PRIVATE LIMITED|POST|0|0
2024-10-16|Ashish Gupta|MISHTEL SERVICES PRIVATE LIMITED|POST|461|414
2024-10-16|Ashish Gupta|U2OPIA MOBILE PRIVATE LIMITED|POST|0|0
2024-10-16|Ashish Gupta|ALL SMS|POST|0|0
2024-10-16|Ashish Gupta|PROACTIVE PROFESSIONAL SERVICES PVT LTD|POST|0|0
2024-10-16|Ashish Gupta|DATAGEN INTERNET SERVICES PRIVATE LIMITED|POST|0|0
2024-10-16|Ashish Gupta|MUZZTECH WIRELESS PRIVATE LIMITED|POST|0|0
2024-10-16|Ashish Gupta|GLOBE COMMUNICATION|POST|2218|2033
2024-10-16|Ashish Gupta|OMATICS DIGITAL & MARKETING PVT LTD|POST|0|0
2024-10-16|Ashish Gupta|GETWAY TECHNOLOGY|POST|747|658
2024-10-16|Ashish Gupta|SHREE RADHA TRADER|POST|35562|25468
2024-10-16|Ashish Gupta|ZAPSN BIZVENTURES PRIVATE LIMITED|POST|3400|3132
2024-10-16|Ashish Gupta|DAKSH INFOSOFT PRIVATE LIMITED|POST|0|0
2024-10-16|Ashish Gupta|TELEOPEDIA|POST|0|0
2024-10-16|Ashish Gupta|GOLDEN TOUCH INVESTMENTS|PRE|0|0
2024-10-16|Ashish Gupta|INGENYRIA ELECTRICAL MART PRIVATE LIMITED|PRE|0|0
2024-10-16|Ashish Gupta|DGAS SKYWORLD SMS TECHNOLOGY PVT LTD|PRE|0|0
2024-10-16|Ashish Gupta|TELEOPEDIA COMMUNICATIONS|PRE|0|0
2024-10-16|Ashish Gupta|EASY WEB SERVICES|PRE|0|0
2024-10-16|Ashish Gupta|SHINE NETCORE|PRE|0|0
2024-10-16|Ashish Gupta|VENETS MEDIA PVT LTD|PRE|0|0
2024-10-16|Ashish Gupta|SAET AGENCY PRIVATE LIMITED|PRE|0|0
2024-10-16|Ashish Gupta|GLOBAL SERVICES|PRE|0|0
2024-10-16|Ashish Gupta|SANCHAR TECH PVT LTD|PRE|2414|1901
2024-10-16|Ashish Gupta|SITANI GROUPS|PRE|628|556
2024-10-16|Ashish Gupta|MESSAGEBYTE TECHNOLOGIES PRIVATE LIMITED|PRE|0|0
2024-10-16|Ashish Gupta|MAGNUS IT SOLUTIONS PVT LTD|PRE|0|0
2024-10-16|Ashish Gupta|MANISH PURWAR|PRE|0|0
