CUSTOMER_NAME|CUSTOMER_TYPE_CODE|TOTAL_SUBMITTED|TOTAL_DELIVERED|TOTAL_DELIVERED_PCT|YESTERDAY_SUBMITTED|YESTERDAY_DELIVERED|YESTERDAY_DELIVERED_PCT
INBOX MEDIA PRIVATE LIMITED|POST|138778056|103013860|74%|7026371|5750249|82%
ALOT DIGITAL SOLUTIONS INDIA PVT LTD|PRE|63016802|43046389|68%|6051789|4411834|73%
3M DIGITAL NETWORKS PRIVATE LIMITED|POST|28733204|22951854|80%|1053869|844831|80%
FABMEDIATECH PVT LTD|PRE|18534933|13395996|72%|981294|699744|71%
TRUSTSIGNAL VENTURES PRIVATE LIMITED|POST|18438384|13239046|72%|1389724|931848|67%
AZMARQ TECHNOVATION PRIVATE LIMITED|POST|16334488|11738453|72%|1026761|845712|82%
MISHTEL SERVICES PRIVATE LIMITED|POST|16082790|13071591|81%|1428|1175|82%
SHREE RADHA TRADER|POST|11078945|8619140|78%|297850|216542|73%
CERF SOLUTIONS PRIVATE LIMITED|POST|9065204|6125530|68%|649294|418197|64%
MANTHAN IT SOLUTIONS|POST|7617218|4390631|58%|1052024|692130|66%
DIGIALAYA SOLUTIONS PRIVATE LIMITED|POST|7242015|6259703|86%|606098|535979|88%
INFINITIO DIGITAL PRIVATE LIMITED|POST|6118714|5524772|90%|557009|505987|91%
SHREE TRIPADA INFOMEDIA INDIA PRIVATE LIMITED|POST|5040319|4300912|85%|372730|332211|89%
ENGAGENEST TECHNOLOGIES PRIVATE LIMITED|POST|3688596|3311855|90%|117712|11825|10%
WALKOVER WEB SOLUTIONS PRIVATE LIMITED|POST|2198346|1616190|74%|178389|142949|80%
360 MARKETING SERVICE PRIVATE LIMITED|POST|2020974|1478020|73%|115190|92980|81%
MICRONET INFOCOM & LOGISTICS PRIVATE LIMITED|POST|1497799|1236734|83%|128153|114212|89%
STM TECHNOLOGIES|POST|1430723|840446|59%|85632|42426|50%
TECHNO CORE LOGIC LIMITED LIABILITY PARTNERSHIP|POST|1365950|762032|56%|77534|49398|64%
ADITEK SYSTEMS PRIVATE LIMITED|POST|1309862|1172400|90%|103039|91569|89%
DOUBLEM TECHNOLOGIES|PRE|1293076|982061|76%|84289|66578|79%
WORDBOX SERVICES|PRE|1224476|1022948|84%|708|620|88%
TECHNOWIZARDS PRIVATE LIMITED|POST|1161662|1079566|93%|77581|72792|94%
MADZ MOBILE PRACHAR PRIVATE LIMITED|POST|1147569|810500|71%|180762|123743|68%
THE BASICS DIGITAL SOLUTIONS PRIVATE LIMITED|PRE|747736|600955|80%|73846|56602|77%
RECHT TECH PRIVATE LIMITED|PRE|616374|385212|62%|44348|27682|62%
BLUE WAVES MEDIA|POST|579179|420349|73%|32368|23673|73%
GETWAY TECHNOLOGY|POST|572916|245897|43%|1380|1246|90%
PATHKIND DIAGNOSTICS PRIVATE LIMITED|POST|554585|256596|46%|10849|8667|80%
INFODREAMZ TECHNOLOGIES NAGPUR PRIVATE LTD|POST|545245|365898|67%|11610|8881|76%
NEXG PLATFORMS PRIVATE LIMITED|POST|479427|315243|66%|49932|27683|55%
ZAPSN BIZVENTURES PRIVATE LIMITED|POST|455147|270831|60%|6439|5917|92%
KYK SOLUTIONS PVT LTD|POST|411212|234389|57%|14354|7437|52%
MIT INFOCOM (INDIA) PRIVATE LIMITED|PRE|381098|276891|73%|20979|14293|68%
BUSINESS LEAD|PRE|350394|313425|89%|25790|22912|89%
MINDSMIRATUS TECHNOLOGIES PVT LTD|POST|320995|62807|20%|60588|0|0%
JUST TRUE SMS DIGITAL PRIVATE LIMITED|PRE|310339|270554|87%|21530|21112|98%
AMYNTAS MEDIA WORKS LLP|PRE|306407|249933|82%|785|738|94%
CELL 24X7 MEDIA TECHNOLOGIES PRIVATE LIMITED|POST|251647|164091|65%|16551|10820|65%
AFON GROUP|PRE|248493|189491|76%|11298|10367|92%
S S EXPERT SYSTEM|POST|171400|92921|54%|32215|17317|54%
SPEQTRA INNOV|PRE|166670|110279|66%|16595|11497|69%
R P INFOTECH|POST|100986|54092|54%|6976|4073|58%
DR. LAL PATHLABS LTD|POST|81511|58769|72%|7001|4945|71%
GLOBE COMMUNICATION|POST|79435|73609|93%|5934|5450|92%
RELIANCE RETAIL FINANCE LIMITED|POST|76475|46032|60%|2215|1721|78%
COOKIEJAR|POST|72473|63948|88%|4311|3862|90%
SANCHAR TECH PVT LTD|PRE|71960|53780|75%|4379|3778|86%
PERTINAX SOLUTIONS PVT LTD|POST|71389|25941|36%|0|0|0%
SARV WEBS PRIVATE LIMITED|POST|60911|48114|79%|0|0|0%
VOXVALLEY TECHNOLOGIES PRIVATE LIMITED|POST|56093|38209|68%|3538|2331|66%
DECIMAL|POST|53269|44695|84%|1904|1464|77%
SITANI GROUPS|PRE|48718|31645|65%|4066|3317|82%
MDS DIGITAL MEDIA PRIVATE LIMITED|POST|46533|27696|60%|18|18|100%
SHIV.COM TECHNOLOGIES NAVI MUMBAI|PRE|43905|40939|93%|2791|2594|93%
ASP UTILITY|PRE|36499|29159|80%|1121|988|88%
