FILE_NAME|INFOBIP_FILE_COUNT|CDR_LOAD_DATE|DB_FILE_COUNT|DIFFERENCES
15102024_6120|1821|2024-10-15 00:43:01|1821|0
15102024_6122|1274|2024-10-15 00:44:01|1274|0
15102024_6125|5187|2024-10-15 00:49:02|5187|0
15102024_6127|337|2024-10-15 00:49:02|337|0
15102024_6129|5104|2024-10-15 00:59:02|5104|0
15102024_6131|9119|2024-10-15 01:09:01|9119|0
15102024_6132|11744|2024-10-15 01:18:01|11744|0
15102024_6135|8957|2024-10-15 01:28:02|8957|0
15102024_6137|11465|2024-10-15 01:38:01|11465|0
15102024_6138|5164|2024-10-15 01:48:01|5164|0
15102024_6141|5761|2024-10-15 01:58:01|5761|0
15102024_6142|6137|2024-10-15 02:06:01|6137|0
15102024_6144|2421|2024-10-15 02:16:01|2421|0
15102024_6146|5617|2024-10-15 02:26:01|5617|0
15102024_6148|6034|2024-10-15 02:36:01|6034|0
15102024_6150|2833|2024-10-15 02:46:01|2833|0
15102024_6151|2|2024-10-15 02:47:01|2|0
15102024_6153|4719|2024-10-15 02:56:02|4719|0
15102024_6155|3633|2024-10-15 03:06:01|3633|0
15102024_6157|4464|2024-10-15 03:16:01|4464|0
15102024_6159|1982|2024-10-15 03:26:01|1982|0
15102024_6162|918|2024-10-15 03:41:01|918|0
15102024_6164|3944|2024-10-15 03:50:01|3944|0
15102024_6165|1527|2024-10-15 04:00:01|1527|0
15102024_6167|2650|2024-10-15 04:09:01|2650|0
15102024_6169|1588|2024-10-15 04:19:01|1588|0
15102024_6171|2368|2024-10-15 04:28:01|2368|0
15102024_6174|2042|2024-10-15 04:39:02|2042|0
15102024_6175|3320|2024-10-15 04:48:01|3320|0
15102024_6177|5042|2024-10-15 04:58:01|5042|0
15102024_6179|3966|2024-10-15 05:07:01|3966|0
15102024_6181|2452|2024-10-15 05:17:01|2452|0
15102024_6183|1212|2024-10-15 05:22:01|1212|0
15102024_6185|1461|2024-10-15 05:33:01|1461|0
15102024_6187|3486|2024-10-15 05:43:01|3486|0
15102024_6189|2930|2024-10-15 05:53:01|2930|0
15102024_6191|530|2024-10-15 06:02:01|530|0
15102024_6193|3681|2024-10-15 06:12:01|3681|0
15102024_6196|4958|2024-10-15 06:23:02|4958|0
15102024_6198|9051|2024-10-15 06:33:01|9051|0
