EVENT_DATE|SMSC_NAME|SERVICE_TYPE|SUBMITION|DELIVERED
2024-10-14|INFOBIP PLATFORM FAILED|NORMAL|9405|0
2024-10-14|INFOBIP PLATFORM FAILED|PSU|347|0
2024-10-14|JIO CLOUD|NORMAL|11594518|9129397
2024-10-14|JIO CLOUD|PSU|2357628|2092202
2024-10-14|NEXG PLATFORM FAILED|NORMAL|3575|0
2024-10-14|NEXG PLATFORM FAILED|PSU|43|0
2024-10-14|ONX|GOVT|2649|2208
2024-10-14|ONX|NORMAL|3447399|2644797
2024-10-14|ONX|PSU|2245827|1745238
2024-10-13|INFOBIP PLATFORM FAILED|NORMAL|11450|0
2024-10-13|INFOBIP PLATFORM FAILED|PSU|774|0
2024-10-13|JIO CLOUD|NORMAL|9079401|6900023
2024-10-13|JIO CLOUD|PSU|2149485|1898346
2024-10-13|NEXG PLATFORM FAILED|NORMAL|4288|0
2024-10-13|NEXG PLATFORM FAILED|PSU|193|0
2024-10-13|ONX|GOVT|1616|1457
2024-10-13|ONX|NORMAL|2816548|2291561
2024-10-13|ONX|PSU|3030769|2457824
2024-10-12|NULL|NORMAL|2|1
2024-10-12|INFOBIP PLATFORM FAILED|NORMAL|14430|0
2024-10-12|INFOBIP PLATFORM FAILED|PSU|241|0
2024-10-12|JIO CLOUD|NORMAL|19423732|12545312
2024-10-12|JIO CLOUD|PSU|1989520|1761167
2024-10-12|NEXG PLATFORM FAILED|NORMAL|8860|0
2024-10-12|NEXG PLATFORM FAILED|PSU|336|0
2024-10-12|ONX|GOVT|1160|1022
2024-10-12|ONX|NORMAL|2882503|2173147
2024-10-12|ONX|PSU|4685481|3669562
2024-10-11|INFOBIP PLATFORM FAILED|NORMAL|21199|0
2024-10-11|INFOBIP PLATFORM FAILED|PSU|568|0
2024-10-11|JIO CLOUD|NORMAL|18785287|12772796
2024-10-11|JIO CLOUD|PSU|1951222|1711521
2024-10-11|MTU|NORMAL|8|0
2024-10-11|NEXG PLATFORM FAILED|GOVT|5|0
2024-10-11|NEXG PLATFORM FAILED|NORMAL|5583|0
2024-10-11|NEXG PLATFORM FAILED|PSU|166|0
2024-10-11|ONX|GOVT|1940|1482
2024-10-11|ONX|NORMAL|3456032|2691230
2024-10-11|ONX|PSU|2714481|2200377
2024-10-10|INFOBIP PLATFORM FAILED|NORMAL|29123|0
2024-10-10|INFOBIP PLATFORM FAILED|PSU|604|0
2024-10-10|JIO CLOUD|NORMAL|13322637|9963977
2024-10-10|JIO CLOUD|PSU|2099538|1865487
