EVENT_DATE|PLATFORM|TYPE|SUBMITION|DELIVERED
2024-10-15|INFOBIP|NORMAL|5644287|4168488
2024-10-15|INFOBIP|PSU|2913130|2578609
2024-10-15|NEXG|GOVT|1672|1370
2024-10-15|NEXG|NORMAL|9564788|7079156
2024-10-15|NEXG|PSU|4612905|3499559
2024-10-14|INFOBIP|NORMAL|6378807|5000394
2024-10-14|INFOBIP|PSU|2983979|2673537
2024-10-14|NEXG|GOVT|2649|2208
2024-10-14|NEXG|NORMAL|8676132|6773800
2024-10-14|NEXG|PSU|1619866|1163903
2024-10-13|INFOBIP|NORMAL|4871589|4026103
2024-10-13|INFOBIP|PSU|2733835|2440097
2024-10-13|NEXG|GOVT|1616|1457
2024-10-13|NEXG|NORMAL|7040098|5165481
2024-10-13|NEXG|PSU|2447386|1916073
2024-10-12|INFOBIP|NORMAL|7730649|5654480
2024-10-12|INFOBIP|PSU|2526428|2258125
2024-10-12|NEXG|GOVT|1160|1022
2024-10-12|NEXG|NORMAL|14598878|9063980
2024-10-12|NEXG|PSU|4149150|3172604
2024-10-11|INFOBIP|NORMAL|12678260|8338318
2024-10-11|INFOBIP|PSU|2467070|2189930
2024-10-11|NEXG|GOVT|1945|1482
2024-10-11|NEXG|NORMAL|9589849|7125708
2024-10-11|NEXG|PSU|2199367|1721968
2024-10-10|INFOBIP|NORMAL|9917092|7536586
2024-10-10|INFOBIP|PSU|2652329|2379406
2024-10-10|NEXG|GOVT|2506|2097
2024-10-10|NEXG|NORMAL|9549273|7204551
2024-10-10|NEXG|PSU|2843269|2152470
2024-10-09|INFOBIP|NORMAL|7726034|5826072
2024-10-09|INFOBIP|PSU|2757190|2468415
2024-10-09|NEXG|GOVT|3212|2572
2024-10-09|NEXG|NORMAL|9486060|7282102
2024-10-09|NEXG|PSU|11786270|9141023
2024-10-08|INFOBIP|NORMAL|5768990|4452717
2024-10-08|INFOBIP|PSU|4024179|3632884
2024-10-08|NEXG|GOVT|7213154|5998645
2024-10-08|NEXG|NORMAL|8927278|6688642
2024-10-08|NEXG|PSU|8370053|6380420
2024-10-07|INFOBIP|NORMAL|4961139|3868446
2024-10-07|INFOBIP|PSU|4631900|4176374
2024-10-07|NEXG|GOVT|8999718|7562338
2024-10-07|NEXG|NORMAL|9467906|6975000
2024-10-07|NEXG|PSU|5942494|4605406
2024-10-06|INFOBIP|NORMAL|3427064|2705526
2024-10-06|INFOBIP|PSU|10693663|8746434
2024-10-06|NEXG|GOVT|4018|3469
2024-10-06|NEXG|NORMAL|7018803|5084909
2024-10-06|NEXG|PSU|2078121|1133218
2024-10-05|INFOBIP|NORMAL|3987961|2982142
2024-10-05|INFOBIP|PSU|11289564|9313996
2024-10-05|NEXG|GOVT|11841|9986
2024-10-05|NEXG|NORMAL|8909637|4578309
2024-10-05|NEXG|PSU|506634|387838
2024-10-04|INFOBIP|NORMAL|5105129|3592872
2024-10-04|INFOBIP|PSU|9381855|6923543
2024-10-04|NEXG|GOVT|12515|10209
2024-10-04|NEXG|NORMAL|3478336|2641137
2024-10-04|NEXG|PSU|519077|376509
2024-10-03|INFOBIP|NORMAL|4858883|3270471
2024-10-03|INFOBIP|PSU|9128946|6312808
2024-10-03|NEXG|GOVT|14078|11463
2024-10-03|NEXG|NORMAL|6017333|4056237
2024-10-03|NEXG|PSU|460911|311317
2024-10-02|INFOBIP|NORMAL|2378046|1388179
2024-10-02|INFOBIP|PSU|10795125|5945626
2024-10-02|NEXG|GOVT|9476|7746
2024-10-02|NEXG|NORMAL|10608205|7812679
2024-10-02|NEXG|PSU|499644|245619
2024-10-01|INFOBIP|NORMAL|3117957|2126894
2024-10-01|INFOBIP|PSU|7636900|5480248
2024-10-01|NEXG|GOVT|60134|38707
2024-10-01|NEXG|NORMAL|9797295|5294490
2024-10-01|NEXG|PSU|719426|452016
TOTAL|||372992118|275598615
