EVENT_DATE|PLATFORM|SMSC_ID|SMSC_NAME|SUBMITION|DELIVERED|FAILED
2024-10-15|INFOBIP|9469|ONX|1006980|804784|202196
2024-10-15|INFOBIP|9605|ONX|1009297|805961|203336
2024-10-15|INFOBIP|9394|JIO CLOUD|1493984|1138116|355868
2024-10-15|INFOBIP|9395|JIO CLOUD|1495521|1138778|356743
2024-10-15|INFOBIP|9389|JIO CLOUD|1499640|1142020|357620
2024-10-15|INFOBIP|0|INFOBIP PLATFORM FAILED|13822|0|13822
2024-10-15|INFOBIP|9396|JIO CLOUD|1591425|1349713|241712
2024-10-15|INFOBIP|9399|JIO CLOUD|37133|6915|30218
2024-10-15|INFOBIP|9482|ONX|409620|360810|48810
2024-10-15|NEXG|jcxtm033|JIO CLOUD|583619|531805|51814
2024-10-15|NEXG|0|NEXG PLATFORM FAILED|6268|0|6268
2024-10-15|NEXG|jcxtd044|JIO CLOUD|2388015|1665744|722271
2024-10-15|NEXG|jcxtd045|JIO CLOUD|451181|348977|102204
2024-10-15|NEXG|jcxtd004|JIO CLOUD|3753311|2811539|941772
2024-10-15|NEXG|1xtelnptr1|ONX|123895|118176|5719
2024-10-15|NEXG|nexgpsu1|ONX|2166321|1615750|550571
2024-10-15|NEXG|1xtelnpotp2|ONX|1495878|1169536|326342
2024-10-15|NEXG|1xtelnpsen2|ONX|1256830|968594|288236
2024-10-15|NEXG|1xtelnptr2|ONX|221941|69473|152468
2024-10-15|NEXG|jcxom021|JIO CLOUD|182538|125347|57191
2024-10-15|NEXG|1xtelnpfda1|ONX|32255|4745|27510
2024-10-15|NEXG|1xtelnpses1|ONX|1201491|924869|276622
2024-10-15|NEXG|jcxtm039|JIO CLOUD|84111|66873|17238
2024-10-15|NEXG|1xtelnptr6|ONX|18|18|0
2024-10-15|NEXG|1xtelnpgvt1|ONX|1672|1370|302
2024-10-15|NEXG|jcxod004|JIO CLOUD|226056|153608|72448
2024-10-15|NEXG|local_2|MTU|2|0|2
2024-10-15|NEXG|local_1|MTU|14|0|14
2024-10-15|NEXG|1xtelnptr3|ONX|4|4|0
2024-10-15|NEXG|1xtelnpotp3|ONX|3989|3657|332
TOTAL||||22736831|17327182|5409649
